iter	MultiClass
0	0.2247330884
1	0.14871344
2	0.1180019345
3	0.09706910765
4	0.08296793801
5	0.0774980181
6	0.06902394443
7	0.06326700111
8	0.05853713887
9	0.05682311104
10	0.05233047392
11	0.04948924859
12	0.04774870936
13	0.04465904526
14	0.04051255514
15	0.03812315504
16	0.03699034336
17	0.03485879777
18	0.0312570226
19	0.0299754986
20	0.02850203827
21	0.027918077
22	0.02689060413
23	0.02607808621
24	0.02512257787
25	0.02439234463
26	0.02298503917
27	0.02197800304
28	0.01907536095
29	0.0180857544
30	0.01727956563
31	0.01621949405
32	0.01574052326
33	0.01512226104
34	0.01427836328
35	0.01403618948
36	0.01356391612
37	0.01345707709
38	0.01319606565
39	0.01274652079
40	0.01242354294
41	0.01221718844
42	0.01214212244
43	0.0118835662
44	0.01164411449
45	0.01136457729
46	0.01122027696
47	0.01105248722
48	0.01077861792
49	0.01047218236
50	0.01020605958
51	0.01011517516
52	0.0100763666
53	0.009961122093
54	0.009839950581
55	0.009590013043
56	0.009455353141
57	0.009404780743
58	0.009155618445
59	0.0089554359
60	0.008914250374
61	0.008776872011
62	0.008669827894
63	0.008481156522
64	0.00832508538
65	0.008178284748
66	0.008058917926
67	0.007954727295
68	0.007895506906
69	0.007818252839
70	0.007685159933
71	0.007541053003
72	0.007470198071
73	0.007358852692
74	0.007294598286
75	0.007200348968
76	0.007083694852
77	0.007066145183
78	0.006971679145
79	0.00690246472
80	0.00678235017
81	0.006654482052
82	0.006562994711
83	0.00644191763
84	0.006346800607
85	0.006277709073
86	0.006195804828
87	0.006130556396
88	0.006086534742
89	0.006032360433
90	0.005938126605
91	0.005864683385
92	0.005819050843
93	0.005750462264
94	0.005559491238
95	0.005488009288
96	0.005466839789
97	0.005407540259
98	0.005325505221
99	0.005279567606
100	0.005240433007
101	0.005206727944
102	0.005149781927
103	0.005011407077
104	0.004943637816
105	0.004861008833
106	0.004849105897
107	0.004791436648
108	0.004650275701
109	0.004602279649
110	0.004562316681
111	0.004511487812
112	0.004485709627
113	0.004351666425
114	0.004338081501
115	0.004292060849
116	0.004235182929
117	0.004203098647
118	0.00416881598
119	0.004123518792
120	0.004109281545
121	0.004077531718
122	0.004038288204
123	0.004017216513
124	0.004004477651
125	0.003935221721
126	0.003912258402
127	0.003881245456
128	0.003851522592
129	0.003822837239
130	0.003780914225
131	0.003756913729
132	0.003688349976
133	0.003672291692
134	0.003648113534
135	0.003625597113
136	0.003599326685
137	0.003569658815
138	0.003537390866
139	0.003517205319
140	0.003498392968
141	0.003483969651
142	0.003474481099
143	0.003420921174
144	0.003408976868
145	0.003390124616
146	0.003368842361
147	0.003354355237
148	0.003328573166
149	0.003276636057
150	0.003247051385
151	0.003226568045
152	0.003202412882
153	0.003190696215
154	0.003141098568
155	0.00310695198
156	0.003101892238
157	0.003083438949
158	0.003029739916
159	0.003026771425
160	0.003002756961
161	0.002992136241
162	0.002976878844
163	0.002962460134
164	0.002946981789
165	0.002914513068
166	0.002906973001
167	0.002863820408
168	0.00284364221
169	0.002832776233
170	0.002822291162
171	0.002804792033
172	0.00279011476
173	0.002781376323
174	0.002755238477
175	0.002736662837
176	0.002714497686
177	0.002672640959
178	0.002656069425
179	0.002648764664
180	0.002636965127
181	0.00261739197
182	0.002595393569
183	0.002592691958
184	0.002574949249
185	0.002564836271
186	0.002561215777
187	0.002547234038
188	0.00254136004
189	0.002538919566
190	0.002522111583
191	0.002516564156
192	0.002506331148
193	0.002476969371
194	0.002470564836
195	0.002461591783
196	0.002444258626
197	0.002430513224
198	0.002413118421
199	0.002407176329
